NM number	Gene name	Gene Family	Category	Expression Value - stimulus	Expression Value + stimulus
NM_0002497	ILK	Serine/threonine-specific protein kinase	Signal transducing proteins	0.384	0.422
NM_0003033	NLRP14	SRC kinase family	Signal transducing proteins	0.943	0.887
NM_0002319	AMPD3	Non-receptor tyrosine kinase	Signal transducing proteins	0.071	0.07
NM_0009344	PTH	MAP Kinase	Signal transducing proteins	0.022	0.023
NM_0004639	KCNJ11	Cyclins	Regulatory protein gene families	0.93	0.854
NM_0009043	OTOG	NOD-like receptors	Immune system proteins	0.481	0.515
NM_0004322	KCNC1	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.032	0.034
NM_0007389	LDHA	Rho family	Signal transducing proteins	0.099	0.105
NM_0007581	FSHB	Equilibrative nucleoside transporter family	Transporters	0.684	0.65
NM_0001227	PAX6	POU family	Regulatory protein gene families	0.952	1.025
NM_0002692	WT1	Heat shock factor	Transporters	0.022	0.021
NM_0006291	ALX4	MADS-box gene family	Regulatory protein gene families	0.613	0.647
NM_0004190	MADD	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.409	0.423
NM_0009479	SLC39A13	RIG-I like receptors	Immune system proteins	0.326	0.304
NM_0005488	NDUFS3	Protocadherin gene family	Transporters	0.908	0.922
NM_0008413	GIF	Ion channels	Transporters	0.44	0.421
NM_0003553	TMEM138	ATCase/OTCase family	Transporters	0.058	0.063
NM_0009311	FERMT3	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.087	0.09
NM_0004365	SLC22A12	SOX gene family	Regulatory protein gene families	0.959	0.876
NM_0004852	RASGRP2	Glycine transporter	Transporters	0.069	0.073
NM_0006301	LTBP3	Expansin gene family	Transporters	0.62	0.671
NM_0002924	B3GNT1	NOTCH2NL	Regulatory protein gene families	0.189	0.198
NM_0008633	CTSF	FH2 protein (formin) gene family	Transporters	0.572	0.518
NM_0006451	PC	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.174	0.162
NM_0001727	CABP4	SOX gene family	Regulatory protein gene families	0.275	0.286
NM_0004416	AIP	Glutamate transporter	Transporters	0.464	0.423
NM_0002996	FGF3	NOD-like receptors	Immune system proteins	0.55	0.601
NM_0005650	FOLR1	Heat shock proteins	Transporters	0.983	1.06
NM_0003271	UCP2	SNARE family	Transporters	0.598	0.544
NM_0008850	SERPINH1	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.656	0.591
NM_0002168	RDX	Bacterial potassium transporter	Transporters	0.31	0.299
NM_0008235	PTS	Membrane-spanning 4A	Transporters	0.099	0.101
NM_0003868	CEP164	Neurotransmitter transporter	Transporters	0.74	0.724
NM_0009662	SCN4B	G-proteins	Signal transducing proteins	0.6	0.621
NM_0002378	CD3E	Major facilitator superfamily	Transporters	0.845	0.834
NM_0008682	UBE4A	Receptor tyrosine kinases	Signal transducing proteins	0.545	0.519
NM_0006847	SLC37A4	SNARE family	Transporters	0.673	0.639
NM_0004498	C1QTNF5	Dynein	Motor proteins	0.3	0.271
NM_0001895	ROBO3	GATA transcription factor	Regulatory protein gene families	0.006	0.006
NM_0007300	KIRREL3	SRC kinase family	Signal transducing proteins	0.131	0.118
NM_0002151	KCNJ1	14-3-3 protein family	Regulatory protein gene families	0.198	0.216
NM_0008707	CACNA1C	Non-receptor tyrosine kinase	Signal transducing proteins	0.685	0.638
NM_0006768	NDUFA9	Fibroblast growth factors (FGF)	Transporters	0.417	0.388
NM_0009459	KCNA1	14-3-3 protein family	Regulatory protein gene families	0.013	0.013
NM_0006554	VAMP1	P300-CBP coactivator family	Regulatory protein gene families	0.219	0.237
NM_0001561	ATN1	Janus kinases	Signal transducing proteins	0.634	0.613
NM_0008361	C12orf57	Major histocompatibility complex (MHC)	Immune system proteins	0.309	0.278
NM_0003340	PEX5	Rho family	Signal transducing proteins	0.0	0.0
NM_0002114	AICDA	Myosin	Motor proteins	0.328	0.307
NM_0008753	CLEC7A	RIG-I like receptors	Immune system proteins	0.515	0.529
NM_0005498	LOC101929220	Non-receptor tyrosine kinase	Signal transducing proteins	0.209	0.201
NM_0005007	GRIN2B	GABA transporter	Transporters	0.389	0.378
NM_0001324	FGD4	Hox gene family	Regulatory protein gene families	0.566	0.513
NM_0001145	YARS2	Hox gene family	Regulatory protein gene families	0.427	0.443
NM_0009255	CNTN1	Nuclear receptor	Regulatory protein gene families	0.968	1.011
NM_0005031	CCDC65	Equilibrative nucleoside transporter family	Transporters	0.04	0.042
NM_0006674	AQP2	NOTCH2NL	Regulatory protein gene families	0.174	0.177
NM_0002210	KRT83	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.837	0.898
NM_0001188	KRT2	Ion channels	Transporters	0.812	0.75
NM_0006600	SP7	Pattern recognition receptor	Immune system proteins	0.622	0.664
NM_0008706	ITGA7	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.242	0.248
NM_0001828	SUOX	Heat shock proteins	Transporters	0.591	0.579
NM_0005183	RPS26	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.465	0.507
NM_0001953	STAT2	Solute carrier family	Transporters	0.551	0.575
NM_0004532	TSFM	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.216	0.2
NM_0008597	TMEM5	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.02	0.019
NM_0001991	TBK1	Heat shock proteins	Transporters	0.529	0.568
NM_0006823	GNS	CDK inhibitors	Regulatory protein gene families	0.518	0.499
NM_0005901	LEMD3	ATCase/OTCase family	Transporters	0.458	0.491
NM_0004911	MSRB3	Globin	Transporters	0.151	0.142
NM_0006967	OTOGL	Monoamine transporter	Transporters	0.896	0.825
NM_0001384	PTPRQ	Aquaporins	Transporters	0.036	0.033
NM_0006050	ALX1	Neurotransmitter transporter	Transporters	0.354	0.33
NM_0006563	SLC25A3	Roundabout family	Transporters	0.443	0.463
NM_0007008	NR1H4	SRC kinase family	Signal transducing proteins	0.972	1.065
NM_0004309	MYBPC1	Toll-like receptors	Immune system proteins	0.785	0.805
NM_0001727	IGF1	DLX gene family	Regulatory protein gene families	0.727	0.696
NM_0009247	ASCL1	ABC transporters	Transporters	0.269	0.291
NM_0007608	WASHC4	CDK inhibitors	Regulatory protein gene families	0.894	0.943
NM_0003090	POLR3B	General transcription factor	Regulatory protein gene families	0.925	0.977
NM_0004298	UNG	Ion channels	Transporters	0.21	0.215
NM_0009583	UBE3B	Major histocompatibility complex (MHC)	Immune system proteins	0.411	0.424
NM_0008049	ATP2A2	SOX gene family	Regulatory protein gene families	0.475	0.455
NM_0003686	TCTN1	Transcription factors	Regulatory protein gene families	0.551	0.597
NM_0008035	TBX3	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.272	0.292
NM_0002839	MED13L	Major histocompatibility complex (MHC)	Immune system proteins	0.702	0.758
NM_0005314	HSPB8	MADS-box gene family	Regulatory protein gene families	0.379	0.404
NM_0009597	HNF1A	G-proteins	Signal transducing proteins	0.711	0.657
NM_0007590	ORAI1	Glutamate transporter	Transporters	0.801	0.751
NM_0005824	HPD	POU family	Regulatory protein gene families	0.774	0.814
NM_0009507	DIABLO	ABC transporters	Transporters	0.481	0.468
NM_0008124	C12orf65	Nuclear receptor	Regulatory protein gene families	0.811	0.891
NM_0006240	EIF2B1	Antiporter	Transporters	0.093	0.099
NM_0006505	TCTN2	SRC kinase family	Signal transducing proteins	0.714	0.648
NM_0001581	P2RX2	Protocadherin gene family	Transporters	0.063	0.068
NM_0002694	ATP8A2	Arf family	Signal transducing proteins	0.261	0.254
NM_0007511	BRCA2	NOTCH2NL	Regulatory protein gene families	0.866	0.892
NM_0007102	KL	G-proteins	Signal transducing proteins	0.951	0.963
NM_0002022	SPG20	G-proteins	Signal transducing proteins	0.385	0.379
NM_0007385	RFXAP	Toll-like receptors	Immune system proteins	0.791	0.827
NM_0003968	SMAD9	Major facilitator superfamily	Transporters	0.699	0.737
NM_0003794	FREM2	Protocadherin gene family	Transporters	0.877	0.799
NM_0002167	TNFSF11	GABA transporter	Transporters	0.149	0.164
NM_0005107	CLN5	Rab family	Signal transducing proteins	0.928	1.003
NM_0006239	GPC6	Globin	Transporters	0.658	0.697
NM_0007076	ZIC2	FH2 protein (formin) gene family	Transporters	0.397	0.375
NM_0005333	FGF14	NOTCH2NL	Regulatory protein gene families	0.65	0.643
NM_0001260	SLC10A2	Receptor tyrosine kinases	Signal transducing proteins	0.73	0.705
NM_0009050	COL4A1	Monoamine transporter	Transporters	0.584	0.598
NM_0001540	CARS2	Immunoglobulin superfamily	Immune system proteins	0.639	0.691
NM_0003132	F10	Globin	Transporters	0.981	1.029
NM_0007857	CHD8	Antiporter	Transporters	0.068	0.072
NM_0004744	NRL	Arf family	Signal transducing proteins	0.097	0.102
NM_0007806	PCK2	Hox gene family	Regulatory protein gene families	0.722	0.739
NM_0002940	AP4S1	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.557	0.521
NM_0004368	NUBPL	Rab family	Signal transducing proteins	0.682	0.722
NM_0005693	CFL2	NF-kB	Regulatory protein gene families	0.546	0.494
NM_0002490	NFKBIA	General transcription factor	Regulatory protein gene families	0.956	0.89
NM_0002859	NKX2-1	Glycine transporter	Transporters	0.161	0.152
NM_0009179	MGAT2	Equilibrative nucleoside transporter family	Transporters	0.228	0.233
NM_0003172	SOS2	Pattern recognition receptor	Immune system proteins	0.085	0.081
NM_0004668	L2HGDH	Immunoglobulin superfamily	Immune system proteins	0.23	0.234
NM_0005391	NIN	14-3-3 protein family	Regulatory protein gene families	0.323	0.34
NM_0005080	DDHD1	Neurotransmitter transporter	Transporters	0.246	0.23
NM_0001954	OTX2	SRC kinase family	Signal transducing proteins	0.819	0.878
NM_0003503	KIAA0586	Glycine transporter	Transporters	0.644	0.589
NM_0001549	SIX1	Glutamate transporter	Transporters	0.938	1.028
NM_0008103	MAX	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.856	0.937
NM_0008090	GPHN	G-proteins	Signal transducing proteins	0.693	0.652
NM_0001217	ZFYVE26	DHH phosphatase family	Transporters	0.461	0.479
NM_0006744	SMOC1	Heat shock factor	Transporters	0.447	0.431
NM_0005865	DNAL1	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.401	0.411
NM_0007648	ALDH6A1	Major facilitator superfamily	Transporters	0.396	0.43
NM_0002789	VIPAS39	CDK inhibitors	Regulatory protein gene families	0.182	0.185
NM_0008623	SPTLC2	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.444	0.451
NM_0002362	TSHR	Immunoglobulin superfamily	Immune system proteins	0.119	0.122
NM_0006266	TTC8	Rho family	Signal transducing proteins	0.426	0.444
NM_0006452	CCDC88C	Immunoglobulin superfamily	Immune system proteins	0.054	0.053
NM_0005620	DICER1	14-3-3 protein family	Regulatory protein gene families	0.914	0.855
NM_0003708	VRK1	Olfactory receptor	Signal transducing proteins	0.283	0.273
NM_0009453	TECPR2	Aquaporins	Transporters	0.601	0.561
NM_0006266	AMN	SOX gene family	Regulatory protein gene families	0.602	0.623
NM_0005698	AKT1	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.45	0.489
NM_0006579	MAGEL2	Major histocompatibility complex (MHC)	Immune system proteins	0.583	0.623
NM_0009660	UBE3A	Major facilitator superfamily	Transporters	0.488	0.47
NM_0002699	GABRB3	Arf family	Signal transducing proteins	0.958	1.011
NM_0008412	HERC2	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.634	0.588
NM_0003859	RYR3	Janus kinases	Signal transducing proteins	0.739	0.803
NM_0008619	SLC12A6	Globin	Transporters	0.898	0.968
NM_0004710	NOP10	Cyclin dependent kinases	Regulatory protein gene families	0.197	0.206
NM_0002324	SPRED1	P300-CBP coactivator family	Regulatory protein gene families	0.186	0.175
NM_0009020	EIF2AK4	Expansin gene family	Transporters	0.588	0.596
NM_0001544	IVD	Heat shock proteins	Transporters	0.322	0.295
NM_0008407	CHST14	MAP Kinase	Signal transducing proteins	0.743	0.782
NM_0002266	UBR1	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.856	0.916
NM_0006563	EPB42	Antiporter	Transporters	0.341	0.308
NM_0009940	TUBGCP4	MADS-box gene family	Regulatory protein gene families	0.629	0.658
NM_0009850	STRC	Major histocompatibility complex (MHC)	Immune system proteins	0.02	0.02
NM_0005017	FBN1	Papain-like protease	Transporters	0.471	0.486
NM_0004492	MYO5A	Dynein	Motor proteins	0.955	1.041
NM_0001349	RAB27A	Solute carrier family	Transporters	0.727	0.773
NM_0008838	PPIB	Ion channels	Transporters	0.842	0.827
NM_0005917	SPG21	Major facilitator superfamily	Transporters	0.886	0.856
NM_0003004	KBTBD13	Heat shock proteins	Transporters	0.354	0.373
NM_0008472	SNAPC5	Protocadherin gene family	Transporters	0.215	0.227
NM_0008237	SMAD6	Equilibrative nucleoside transporter family	Transporters	0.813	0.831
NM_0007162	HCN4	Heat shock factor	Transporters	0.39	0.372
NM_0006110	CYP11A1	Pattern recognition receptor	Immune system proteins	0.336	0.313
NM_0008658	PSTPIP1	Kinesin	Motor proteins	0.328	0.341
NM_0009523	CIB2	G-proteins	Signal transducing proteins	0.074	0.078
NM_0007718	WDR73	General transcription factor	Regulatory protein gene families	0.873	0.905
NM_0003060	RLBP1	SNARE family	Transporters	0.322	0.294
NM_0009408	MEF2A	POU family	Regulatory protein gene families	0.26	0.268
NM_0005449	ADAMTS17	RIG-I like receptors	Immune system proteins	0.532	0.513
NM_0002910	LINS	Receptor tyrosine kinases	Signal transducing proteins	0.812	0.842
NM_0008394	NPRL3	GATA transcription factor	Regulatory protein gene families	0.325	0.349
NM_0005591	HBA2	POU family	Regulatory protein gene families	0.79	0.852
NM_0007648	PIGQ	GATA transcription factor	Regulatory protein gene families	0.932	0.918
NM_0002429	NTHL1	Peroxin	Transporters	0.093	0.096
NM_0002448	CLUAP1	Solute carrier family	Transporters	0.277	0.283
NM_0009846	ROGDI	Glycine transporter	Transporters	0.008	0.008
NM_0001752	RBFOX1	Antiporter	Transporters	0.007	0.007
NM_0009790	ABAT	Transcription factors	Regulatory protein gene families	0.838	0.897
NM_0003516	CIITA	Antiporter	Transporters	0.887	0.943
NM_0008436	PARN	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.359	0.391
NM_0001083	NDE1	Glutamate transporter	Transporters	0.175	0.19
NM_0007464	CRYM	Hox gene family	Regulatory protein gene families	0.096	0.101
NM_0008338	OTOA	G-proteins	Signal transducing proteins	0.855	0.771
NM_0009587	IL21R	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.579	0.564
NM_0004297	CLN3	Transcription factors	Regulatory protein gene families	0.491	0.468
NM_0006951	TUFM	Fibroblast growth factor receptors (FGFR)	Transporters	0.437	0.428
NM_0006535	ATP2A1	Fibroblast growth factor receptors (FGFR)	Transporters	0.626	0.663
NM_0008540	TBX6	Aquaporins	Transporters	0.69	0.631
NM_0003013	CORO1A	Janus kinases	Signal transducing proteins	0.559	0.529
NM_0002282	SRCAP	Membrane-spanning 4A	Transporters	0.964	0.907
NM_0007193	PHKG2	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.84	0.898
NM_0007888	BCKDK	ABC transporters	Transporters	0.769	0.814
NM_0005203	ORC6	Nuclear receptor	Regulatory protein gene families	0.708	0.721
NM_0009756	MMP2	SNARE family	Transporters	0.001	0.001
NM_0003004	BBS2	Antiporter	Transporters	0.732	0.763
NM_0002221	COQ9	Heat shock factor	Transporters	0.734	0.724
NM_0001191	HSF4	DHH phosphatase family	Transporters	0.991	1.013
NM_0003985	CTCF	Fibroblast growth factor receptors (FGFR)	Transporters	0.966	0.899
NM_0001607	ACD	Janus kinases	Signal transducing proteins	0.008	0.008
NM_0002747	CDH3	Fibroblast growth factors (FGF)	Transporters	0.086	0.083
NM_0003902	COG8	Ras family	Signal transducing proteins	0.23	0.22
NM_0007388	COG4	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.323	0.347
NM_0003957	TAT	GABA transporter	Transporters	0.863	0.786
NM_0004988	KARS	Kinesin	Motor proteins	0.104	0.112
NM_0009544	GCSH	NOD-like receptors	Immune system proteins	0.721	0.76
NM_0005128	PLCG2	Transcription factors	Regulatory protein gene families	0.71	0.702
NM_0002557	MLYCD	Roundabout family	Transporters	0.756	0.767
NM_0004901	TAF1C	Non-receptor tyrosine kinase	Signal transducing proteins	0.072	0.07
NM_0006425	FOXF1	Transcription factors	Regulatory protein gene families	0.252	0.276
NM_0005840	ZNF469	GATA transcription factor	Regulatory protein gene families	0.862	0.796
NM_0006101	PIEZO1	Pattern recognition receptor	Immune system proteins	0.621	0.674
NM_0006055	APRT	Myosin	Motor proteins	0.289	0.281
NM_0004519	ANKRD11	Cyclins	Regulatory protein gene families	0.318	0.33
NM_0008590	CHMP1A	Glycine transporter	Transporters	0.308	0.313
NM_0005349	ZNF276	SOX gene family	Regulatory protein gene families	0.517	0.525
NM_0003447	TUBB3	Glycine transporter	Transporters	0.392	0.404
NM_0006688	PRPF8	Serine/threonine-specific protein kinase	Signal transducing proteins	0.693	0.736
NM_0009136	WDR81	Aquaporins	Transporters	0.116	0.119
NM_0002080	PAFAH1B1	CDK inhibitors	Regulatory protein gene families	0.009	0.009
NM_0009438	C17orf107	Globin	Transporters	0.078	0.073
NM_0001526	GP1BA	Aquaporins	Transporters	0.912	0.929
NM_0003648	KIF1C	Pattern recognition receptor	Immune system proteins	0.303	0.274
NM_0002170	SLC13A5	Myosin	Motor proteins	0.581	0.618
NM_0003626	ALOXE3	NOTCH2NL	Regulatory protein gene families	0.936	0.85
NM_0001748	HES7	Immunoglobulin superfamily	Immune system proteins	0.717	0.743
NM_0006159	RANGRF	Peroxiredoxin	Signal transducing proteins	0.099	0.09
NM_0002218	ARHGEF15	Toll-like receptors	Immune system proteins	0.156	0.154
NM_0007936	TTC19	Expansin gene family	Transporters	0.381	0.419
NM_0008124	ATPAF2	Protocadherin gene family	Transporters	0.821	0.788
NM_0002515	SLC46A1	CDK inhibitors	Regulatory protein gene families	0.814	0.772
NM_0003573	NEK8	GABA transporter	Transporters	0.971	0.928
NM_0007948	CRYBA1	Major facilitator superfamily	Transporters	0.43	0.41
NM_0009592	RNF135	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.612	0.584
NM_0006739	GPR179	GABA transporter	Transporters	0.902	0.932
NM_0007316	PGAP3	GABA transporter	Transporters	0.78	0.704
NM_0003100	ERBB2	G-proteins	Signal transducing proteins	0.954	0.987
NM_0008668	SMARCE1	RIG-I like receptors	Immune system proteins	0.415	0.423
NM_0002400	STAT5B	Fibroblast growth factors (FGF)	Transporters	0.906	0.874
NM_0004309	PTRF	FH2 protein (formin) gene family	Transporters	0.046	0.045
NM_0001540	COASY	Roundabout family	Transporters	0.356	0.37
NM_0006603	WNK4	Families containing homeobox domains	Regulatory protein gene families	0.169	0.152
NM_0004179	SOST	Glutamate transporter	Transporters	0.883	0.795
NM_0009700	NAGS	Bacterial potassium transporter	Transporters	0.644	0.614
NM_0007979	UBTF	Papain-like protease	Transporters	0.544	0.598
NM_0009267	EFTUD2	Rho family	Signal transducing proteins	0.104	0.113
NM_0008571	KANSL1	Major facilitator superfamily	Transporters	0.866	0.831
NM_0007347	DLX3	14-3-3 protein family	Regulatory protein gene families	0.559	0.602
NM_0003363	COL1A1	Expansin gene family	Transporters	0.488	0.441
NM_0006293	NOG	Heat shock proteins	Transporters	0.391	0.385
NM_0006833	MKS1	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.586	0.637
NM_0004800	MPO	Glycine transporter	Transporters	0.172	0.169
NM_0002569	TRIM37	Hox gene family	Regulatory protein gene families	0.336	0.305
NM_0002473	CA4	Antiporter	Transporters	0.355	0.368
NM_0007708	BRIP1	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.266	0.25
NM_0006259	STRADA	Expansin gene family	Transporters	0.637	0.673
NM_0004997	RGS9	Globin	Transporters	0.373	0.391
NM_0005074	AXIN2	Solute carrier family	Transporters	0.329	0.309
NM_0009832	PRKAR1A	Major histocompatibility complex (MHC)	Immune system proteins	0.509	0.463
NM_0009915	SOX9	POU family	Regulatory protein gene families	0.766	0.788
NM_0009779	USH1G	NF-kB	Regulatory protein gene families	0.533	0.527
NM_0004950	SLC25A19	Hox gene family	Regulatory protein gene families	0.309	0.316
NM_0008352	METTL23	Heat shock factor	Transporters	0.745	0.701
NM_0001712	Sep-09	SNARE family	Transporters	0.518	0.476
NM_0002507	CCDC40	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.712	0.75
NM_0006857	ACTG1	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.352	0.37
NM_0002514	FSCN2	Rap family	Signal transducing proteins	0.315	0.321
NM_0003601	PDE6G	Immunoglobulin superfamily	Immune system proteins	0.494	0.462
NM_0002294	FASN	NOTCH2NL	Regulatory protein gene families	0.652	0.596
NM_0001713	LPIN2	Hox gene family	Regulatory protein gene families	0.532	0.551
NM_0006635	PIEZO2	Arf family	Signal transducing proteins	0.025	0.026
NM_0003978	AFG3L2	Ion channels	Transporters	0.107	0.108
NM_0001803	MIB1	SOX gene family	Regulatory protein gene families	0.551	0.583
NM_0001577	LAMA3	Ras family	Signal transducing proteins	0.584	0.628
NM_0009830	DSG4	Serine/threonine-specific protein kinase	Signal transducing proteins	0.153	0.14
NM_0008271	ASXL3	Rab family	Signal transducing proteins	0.902	0.84
NM_0006091	DTNA	Families containing homeobox domains	Regulatory protein gene families	0.675	0.724
NM_0001549	ELP2	Receptor tyrosine kinases	Signal transducing proteins	0.382	0.373
NM_0007868	EPG5	Receptor tyrosine kinases	Signal transducing proteins	0.87	0.91
NM_0001820	ATP5A1	SRC kinase family	Signal transducing proteins	0.839	0.796
NM_0001528	LOXHD1	FH2 protein (formin) gene family	Transporters	0.581	0.562
NM_0005448	IER3IP1	CDK inhibitors	Regulatory protein gene families	0.855	0.786
NM_0009496	DYM	DLX gene family	Regulatory protein gene families	0.986	1.005
NM_0008453	CCDC11	Transcription factors	Regulatory protein gene families	0.93	0.914
NM_0002476	TCF4	Protocadherin gene family	Transporters	0.893	0.928
NM_0003532	PIGN	POU family	Regulatory protein gene families	0.787	0.864
NM_0001934	TSHZ1	Rho family	Signal transducing proteins	0.299	0.321
NM_0004768	CTDP1	Rap family	Signal transducing proteins	0.456	0.416
NM_0005598	ADAT3	FH2 protein (formin) gene family	Transporters	0.686	0.749
NM_0008020	AMH	Rab family	Signal transducing proteins	0.263	0.276
NM_0001574	LMNB2	Peroxiredoxin	Signal transducing proteins	0.862	0.849
NM_0008925	GNA11	Dynein	Motor proteins	0.982	0.889
NM_0006554	GIPC3	Heat shock factor	Transporters	0.003	0.003
NM_0003667	RAX2	Toll-like receptors	Immune system proteins	0.114	0.116
NM_0004993	MAP2K2	Toll-like receptors	Immune system proteins	0.551	0.537
NM_0003536	NDUFA11	Nuclear receptor	Regulatory protein gene families	0.732	0.74
NM_0005864	TUBB4A	Bacterial potassium transporter	Transporters	0.903	0.838
NM_0003251	VAV1	Major facilitator superfamily	Transporters	0.583	0.628
NM_0009221	MCOLN1	Families containing homeobox domains	Regulatory protein gene families	0.939	0.85
NM_0007045	PNPLA6	Globin	Transporters	0.416	0.455
NM_0002233	CD320	Receptor tyrosine kinases	Signal transducing proteins	0.375	0.357
NM_0009950	CCDC151	MAP Kinase	Signal transducing proteins	0.824	0.742
NM_0002413	NFIX	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.592	0.541
NM_0006284	NACC1	RIG-I like receptors	Immune system proteins	0.486	0.438
NM_0003522	CACNA1A	DLX gene family	Regulatory protein gene families	0.971	1.031
NM_0009775	CC2D1A	NF-kB	Regulatory protein gene families	0.029	0.027
NM_0009077	CYP4F22	Rab family	Signal transducing proteins	0.737	0.666
NM_0003199	SLC5A5	Glycine transporter	Transporters	0.149	0.146
NM_0002609	CERS1	Olfactory receptor	Signal transducing proteins	0.91	0.946
NM_0009423	SLC25A42	NOD-like receptors	Immune system proteins	0.687	0.695
NM_0004612	CEBPA	14-3-3 protein family	Regulatory protein gene families	0.823	0.894
NM_0004189	GPI	Solute carrier family	Transporters	0.676	0.723
NM_0002044	HAMP	Neurotransmitter transporter	Transporters	0.356	0.368
NM_0004365	MAG	Rap family	Signal transducing proteins	0.386	0.349
NM_0002077	COX6B1	Toll-like receptors	Immune system proteins	0.08	0.082
NM_0005753	TYROBP	Monoamine transporter	Transporters	0.88	0.895
NM_0001063	SDHAF1	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.625	0.6
NM_0007338	SYNE4	Equilibrative nucleoside transporter family	Transporters	0.372	0.403
NM_0007873	ACTN4	Fibroblast growth factor receptors (FGFR)	Transporters	0.651	0.63
NM_0007585	PLEKHG2	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.126	0.116
NM_0003804	AKT2	General transcription factor	Regulatory protein gene families	0.417	0.387
NM_0002727	TGFB1	GABA transporter	Transporters	0.396	0.376
NM_0007617	RPS19	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.148	0.143
NM_0002089	CD79A	14-3-3 protein family	Regulatory protein gene families	0.523	0.541
NM_0007491	MEGF8	Non-receptor tyrosine kinase	Signal transducing proteins	0.149	0.139
NM_0009139	ETHE1	Major facilitator superfamily	Transporters	0.166	0.174
NM_0005594	CEACAM16	Families containing homeobox domains	Regulatory protein gene families	0.242	0.245
NM_0004522	BLOC1S3	Non-receptor tyrosine kinase	Signal transducing proteins	0.92	0.932
NM_0007629	ERCC1	Bacterial potassium transporter	Transporters	0.821	0.752
NM_0003107	RTN2	Hox gene family	Regulatory protein gene families	0.072	0.078
NM_0006526	OPA3	Ion channels	Transporters	0.304	0.284
NM_0005878	CALM3	Myosin	Motor proteins	0.766	0.823
NM_0007675	KPTN	Peroxin	Transporters	0.436	0.473
NM_0007109	FTL	Pattern recognition receptor	Immune system proteins	0.753	0.816
NM_0006816	RRAS	GABA transporter	Transporters	0.486	0.514
NM_0001948	ETFB	GABA transporter	Transporters	0.353	0.362
NM_0004702	LIM2	Cyclins	Regulatory protein gene families	0.276	0.284
NM_0004679	FPR1	Fibroblast growth factor receptors (FGFR)	Transporters	0.591	0.634
NM_0005995	PRKCG	Solute carrier family	Transporters	0.557	0.568
NM_0006967	PRPF31	SRC kinase family	Signal transducing proteins	0.097	0.091
NM_0001109	TSEN34	Equilibrative nucleoside transporter family	Transporters	0.614	0.645
NM_0006230	TNNT1	Aquaporins	Transporters	0.522	0.567
NM_0007502	DNAAF3	MAP Kinase	Signal transducing proteins	0.145	0.156
NM_0003679	AURKC	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.532	0.568
NM_0008186	PXDN	Membrane-spanning 4A	Transporters	0.795	0.869
NM_0003855	SOX11	NOTCH2NL	Regulatory protein gene families	0.42	0.395
NM_0007414	APOB	Papain-like protease	Transporters	0.131	0.14
NM_0008153	POMC	DHH phosphatase family	Transporters	0.444	0.454
NM_0002106	DNMT3A	ABC transporters	Transporters	0.422	0.389
NM_0009427	DRC1	Peroxin	Transporters	0.537	0.552
NM_0009868	CAD	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.276	0.28
NM_0005778	EIF2B4	Olfactory receptor	Signal transducing proteins	0.412	0.382
NM_0003259	IFT172	RIG-I like receptors	Immune system proteins	0.858	0.914
NM_0009865	SRD5A2	RIG-I like receptors	Immune system proteins	0.53	0.552
NM_0008625	PREPL	Solute carrier family	Transporters	0.794	0.854
NM_0004668	TTC7A	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.024	0.022
NM_0009000	CALM2	Cyclins	Regulatory protein gene families	0.608	0.621
NM_0005988	FSHR	Solute carrier family	Transporters	0.865	0.815
